id,Estimate!!Median income (dollars)!!HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER!!Households
13245000200,19984
13245000300,23516
13245000600,19350
13245000700,23125
13245000900,23778
13245001000,44118
13245001100,90764
13245001200,34115
13245001300,42917
13245001400,27321
13245001500,17772
13245001601,18007
13245001602,78396
13245010101,56387
13245010104,51088
13245010105,55637
13245010106,52825
13245010107,49858
13245010201,94635
13245010203,46219
13245010204,60100
13245010300,25172
13245010400,16667
13245010504,37660
13245010506,24311
13245010507,35039
13245010508,31909
13245010509,40856
13245010510,38263
13245010511,27681
13245010512,38409
13245010513,53313
13245010600,25213
13245010706,46071
13245010707,52639
13245010708,40938
13245010709,60260
13245010710,36704
13245010711,55521
13245010712,56726
13245010800,52422
13245010903,61975
13245010904,43534
13245010905,37478
13245010906,59155
13245011000,15162
13247060101,67048
13247060102,64428
13247060201,38269
13247060202,74189
13247060304,45486
13247060305,50156
13247060306,75955
13247060307,65995
13247060308,50530
13247060309,39056
13247060403,69306
13247060404,66244
13247060405,77429
13247060406,76657
13247060407,70987
13249960100,33500
13249960200,58030
13251970200,45650
13251970300,40677
13251970400,35512
13251970500,38705
13251970600,58800
13253200100,34071
13253200200,29538
13253200300,44679
13255160100,44548
13255160200,69110
13255160300,22868
13255160400,28935
13255160500,49003
13255160600,54977
13255160700,45487
13255160800,30131
13255160900,34333
13255161000,57296
13255161100,60938
13255161200,50233
13257970100,55273
13257970200,64329
13257970301,26616
13257970302,35420
13257970400,45139
13259950100,29468
13259950400,30833
13261950100,42532
13261950200,48952
13261950300,34067
13261950400,37545
13261950500,49286
13261950600,26922
13261950700,29675
13261950800,49112
13263960100,36964
13263960200,40041
13263960300,37188
13265010200,37446
13267950100,39063
13267950201,35762
13267950202,35833
13267950300,44038
13267950400,52153
13269950100,37047
13269950200,35199
13269950300,29057
13271950100,30288
13271950200,55714
13271950500,31738
13273120200,40438
13273120300,27582
13273120400,33664
13273120500,50529
13275960100,35391
13275960200,47699
13275960300,41406
13275960400,43088
13275960500,53000
13275960600,40000
13275960700,30000
13275960800,37862
13275960900,48185
13275961000,58810
13275961100,41767
13277960100,73005
13277960200,53894
13277960300,51833
13277960400,41836
13277960500,70197
13277960600,32754
13277960700,30781
13277960800,36750
13277960900,40190
13279970100,29974
13279970200,35891
13279970300,58385
13279970400,38470
13279970500,30938
13279970600,47429
13281960100,42380
13281960200,51289
13281960300,48777
13283960100,28347
13283960200,33750
13285960100,43370
13285960201,70613
13285960202,69211
13285960300,72292
13285960400,36595
13285960501,40448
13285960502,47232
13285960600,32105
13285960700,48929
13285960800,21152
13285960901,29060
13285960902,62880
13285961000,39618
13285961100,65144
13287970200,35952
13287970300,41577
13289060100,33868
13289060200,35821
13291000101,44278
13291000102,52422
13291000201,55110
13291000203,49865
13291000204,49118
13291000205,53103
13293010100,49605
13293010201,31476
13293010202,47500
13293010300,44623
13293010400,36538
13293010500,30085
13293010600,40406
13295020100,38100
13295020200,32804
13295020301,38875
13295020302,41194
13295020400,80491
13295020501,60383
13295020502,53326
13295020601,64796
13295020602,46389
13295020700,32381
13295020800,48646
13295020901,53516
13295020902,56908
13297110100,76528
13297110200,57036
13297110300,34928
13297110400,38934
13297110503,83704
13297110504,65000
13297110505,74803
13297110506,84405
13297110507,71205
13297110508,69730
13297110601,76173
13297110602,75815
13297110603,55620
13297110700,51042
13297110800,57397
13299950100,51023
13299950200,49969
13299950300,29304
13299950400,16836
13299950500,44459
13299950600,48663
13299950700,24364
13299950800,29491
13299950900,31800
13301970400,31392
13301970500,42153
13303950100,52045
13303950300,35824
13303950400,36880
13303950500,41339
13303950700,37000
13305970100,50500
13305970200,41276
13305970300,39091
13305970400,51000
13305970500,48266
13305970600,51250
13307960100,45266
13307960200,35236
13309780100,29770
13309780200,30709
13311950100,59265
13311950201,43843
13311950202,53750
13311950203,55950
13311950300,57096
13313000101,56466
13313000102,60046
13313000200,44076
13313000301,44853
13313000302,52575
13313000400,39538
13313000501,63125
13313000502,35058
13313000600,59231
13313000700,49917
13313000800,53036
13313000900,64093
13313001000,42533
13313001100,38083
13313001200,43678
13313001300,35507
13313001400,59659
13313001500,54724
13315960100,31513
13315960200,37594
13315960300,54375
13315960400,36169
13317010101,36174
13317010102,41176
13317010301,47400
13317010302,32024
13319960200,50885
13319960300,36157
13319960400,31801
13321950100,47125
13321950200,45455
13321950400,41532
13321950500,44297
13321950600,54896
